id,name,raise,lower,liked,disliked
1,Hardy,hp,atk,None,Spicy
2,Docile,hp,def,None,Sour
3,Proud,hp,satk,None,Dry
4,Quirky,hp,sdef,None,Bitter
5,Lazy,hp,spd,None,Sweet
6,Desperate,atk,hp,Spicy,None
7,Lonely,atk,def,Spicy,Sour
8,Adamant,atk,satk,Spicy,Dry
9,Naughty,atk,sdef,Spicy,Bitter
10,Brave,atk,spd,Spicy,Sweet
11,Stark,def,hp,Sour,None
12,Bold,def,atk,Sour,Spicy
13,Impish,def,satk,Sour,Dry
14,Lax,def,sdef,Sour,Bitter
15,Relaxed,def,spd,Sour,Sweet
16,Bashful,satk,hp,Dry,None
17,Modest,satk,atk,Dry,Spicy
18,Mild,satk,def,Dry,Sour
19,Rash,satk,sdef,Dry,Bitter
20,Quiet,satk,spd,Dry,Sweet
21,Sickly,sdef,hp,Bitter,None
22,Calm,sdef,atk,Bitter,Spicy
23,Gentle,sdef,def,Bitter,Sour
24,Careful,sdef,satk,Bitter,Dry
25,Sassy,sdef,spd,Bitter,Sweet
26,Serious,spd,hp,Sweet,None
27,Timid,spd,atk,Sweet,Spicy
28,Hasty,spd,def,Sweet,Sour
29,Jolly,spd,satk,Sweet,Dry
30,Naive,spd,sdef,Sweet,Bitter
31,Composed,,,None,None
32,Dull,,,None,None
33,Patient,,,None,None
34,Poised,,,None,None
35,Stoic,,,None,None
